23555-100.0:23556-8000:23557-300000,26.43
23555-150.0:23556-8000:23557-300000,20.42
23555-250.0:23556-8000:23557-300000,19.4
23555-500.0:23556-8000:23557-300000,16.2
23555-750.0:23556-8000:23557-300000,18.91
23555-1000.0:23556-8000:23557-300000,14.54
23555-1500.0:23556-8000:23557-300000,16.79
23555-2500.0:23556-8000:23557-300000,12.28
23555-5000.0:23556-8000:23557-300000,10.83
23555-100.0:23556-8000:23557-500000,22.84
23555-150.0:23556-8000:23557-500000,27.13
23555-250.0:23556-8000:23557-500000,23.28
23555-750.0:23556-8000:23557-500000,16.96
23555-1000.0:23556-8000:23557-500000,19.62
23555-1500.0:23556-8000:23557-500000,18.46
23555-2500.0:23556-8000:23557-500000,13.95
23555-5000.0:23556-8000:23557-500000,12.29
23555-100.0:23556-12000:23557-100000,18.84
23555-150.0:23556-12000:23557-100000,23.13
23555-250.0:23556-12000:23557-100000,15.07
23555-500.0:23556-12000:23557-100000,13.86
23555-750.0:23556-12000:23557-100000,12.96
23555-1500.0:23556-12000:23557-100000,11.3
23555-2500.0:23556-12000:23557-100000,19.89
23555-5000.0:23556-12000:23557-100000,10.83
23555-100.0:23556-12000:23557-300000,20.92
23555-150.0:23556-12000:23557-300000,25.22
23555-250.0:23556-12000:23557-300000,17.15
23555-500.0:23556-12000:23557-300000,15.95
23555-750.0:23556-12000:23557-300000,15.04
23555-1000.0:23556-12000:23557-300000,14.29
23555-1500.0:23556-12000:23557-300000,13.38
23555-5000.0:23556-12000:23557-300000,10.83
23555-100.0:23556-12000:23557-500000,22.59
23555-150.0:23556-12000:23557-500000,21.83
23555-250.0:23556-12000:23557-500000,18.82
23555-500.0:23556-12000:23557-500000,17.61
23555-750.0:23556-12000:23557-500000,16.71
23555-1000.0:23556-12000:23557-500000,15.96
23555-2500.0:23556-12000:23557-500000,15.01
23555-5000.0:23556-12000:23557-500000,12.04
23555-100.0:23556-12000:23557-100000,19.09
23555-150.0:23556-12000:23557-100000,23.38
23555-250.0:23556-12000:23557-100000,15.32
23555-500.0:23556-12000:23557-100000,15.95
23555-750.0:23556-12000:23557-100000,16.83
23555-1000.0:23556-12000:23557-100000,12.46
23555-1500.0:23556-12000:23557-100000,11.55
23555-5000.0:23556-12000:23557-100000,10.83
23555-150.0:23556-12000:23557-300000,20.42
23555-500.0:23556-12000:23557-300000,20.07
23555-750.0:23556-12000:23557-300000,15.29
23555-1000.0:23556-12000:23557-300000,17.95
23555-1500.0:23556-12000:23557-300000,13.63
23555-2500.0:23556-12000:23557-300000,12.28
23555-5000.0:23556-12000:23557-300000,10.83
23555-150.0:23556-12000:23557-500000,27.13
23555-250.0:23556-12000:23557-500000,19.07
23555-750.0:23556-12000:23557-500000,16.96
23555-1000.0:23556-12000:23557-500000,16.21
23555-1500.0:23556-12000:23557-500000,15.3
23555-2500.0:23556-12000:23557-500000,13.95
23555-5000.0:23556-12000:23557-500000,12.29
23555-100.0:23556-16000:23557-100000,19.11
23555-150.0:23556-16000:23557-100000,18.35
23555-250.0:23556-16000:23557-100000,15.29
23555-500.0:23556-16000:23557-100000,18.01
23555-1500.0:23556-16000:23557-100000,11.47
23555-2500.0:23556-16000:23557-100000,12.92
23555-5000.0:23556-16000:23557-100000,10.83
23555-150.0:23556-16000:23557-300000,22.82
